month,year,gravity_percentage
1,2013,0,06666667
12,2013,3,5294119E-2
11,2013,3,9215688E-2
10,2013,5,4901961E-2
8,2013,7,8431375E-2
7,2013,7,0588239E-2
9,2013,0,11372549
5,2013,0,11764706
4,2013,9,0196081E-2
3,2013,0,14901961
2,2013,8,6274512E-2
6,2013,9,8039217E-2
8,2014,7,7563152E-2
12,2014,0,23665181
11,2014,7,3501736E-2
10,2014,8,3209507E-2
9,2014,7,0827141E-2
7,2014,6,7062899E-2
3,2014,7,0827141E-2
5,2014,7,3501736E-2
4,2014,6,3694902E-2
2,2014,4,6755821E-2
1,2014,6,4784549E-2
6,2014,7,1619615E-2
9,2015,8,3682336E-2
12,2015,8,9524843E-2
11,2015,7,9339229E-2
10,2015,8,8697582E-2
7,2015,0,09177395
8,2015,9,0171136E-2
5,2015,0,09229099
4,2015,8,5414402E-2
3,2015,8,4354483E-2
2,2015,0,06057081
1,2015,7,6598935E-2
6,2015,7,7581301E-2
12,2016,0,11906447
10,2016,9,3281075E-2
9,2016,9,8760732E-2
8,2016,0,10759712
7,2016,7,2596304E-2
11,2016,9,8379694E-2
5,2016,6,7062214E-2
4,2016,6,6282004E-2
3,2016,7,3830128E-2
2,2016,6,3251868E-2
1,2016,6,7552119E-2
6,2016,7,2342277E-2
8,2017,7,8423977E-2
9,2017,7,1095295E-2
12,2017,7,6538786E-2
11,2017,7,9331227E-2
10,2017,7,9401925E-2
7,2017,9,2704311E-2
5,2017,9,0229996E-2
4,2017,8,3301917E-2
3,2017,0,08698982
2,2017,8,1169292E-2
1,2017,9,2574701E-2
6,2017,8,8238761E-2
2,2018,0,31248996
1,2018,0,39868301
3,2018,0,28882703
